<<<<<<< HEAD
Year,Type of specie,Status,Value
2022,Plants,Critical Endangered,42
2022,Plants,Endangered,55
2022,Plants,Vulnerable,118
2022,Plants,Near Threatened,76
2022,Plants,Data Deficient,9
2022,Plants,Least Concern,550
2022,Plants,Total,736
=======
Year,Type of Species,Status,Value
2016,Mammals,Endemic,7
2016,Birds,Endemic,31
2016,Amphibians,Endemic,21
2016,Conifers,Endemic,2
2016,Cycads,Endemic,0
2016,Cacti,Endemic,5
2016,Mammals,Threatened,4
2016,Birds,Threatened,5
2016,Amphibians,Threatened,15
2016,Conifers,Endemic,2
2016,Cycads,Endemic,0
2016,Cacti,Endemic,2
2017,Mammals,Endemic,7
2017,Birds,Endemic,31
2017,Amphibians,Endemic,21
2017,Conifers,Endemic,2
2017,Cycads,Endemic,0
2017,Cacti,Endemic,5
2017,Mammals,Threatened,4
2017,Birds,Threatened,5
2017,Amphibians,Threatened,15
2017,Conifers,Endemic,2
2017,Cycads,Endemic,0
2017,Cacti,Endemic,2
2018,Mammals,Endemic,7
2018,Birds,Endemic,31
2018,Amphibians,Endemic,21
2018,Conifers,Endemic,2
2018,Cycads,Endemic,1
2018,Cacti,Endemic,5
2018,Mammals,Threatened,4
2018,Birds,Threatened,5
2018,Amphibians,Threatened,15
2018,Conifers,Endemic,2
2018,Cycads,Endemic,0
2018,Cacti,Endemic,2
>>>>>>> 100d749700860a6bf318739afe553c453f86ff73
